"database", "year", "Organism", "Website", "Download", "Available", "PubmedID"
"Antagomirbase","2011","Unspecified","http://bioinfopresidencycollegekolkata.edu.in/antagomirs.html","No","No","21904438"
"ARN","2016","Unspecified","http://210.27.80.93/arn/","No","Yes","27503118"
"AtmiRNET","2015","Arabidopsis thaliana","http://atmirnet.itps.ncku.edu.tw/","No","Yes","25972521"
"BioM2MetDisease","2017","Animal","http://www.bio-bigdata.com/BioM2MetDisease/","Yes","Yes","28605773"
"CCGD","2010","Homo sapiens","http://crdd.osdd.net/","No","Yes","21045064"
"ceRDB","2014","Homo sapiens","http://www.oncomir.umn.edu/cefinder/","No","Yes","23055620"
"CircuitsDB","2010","Homo sapiens","http://biocluster.di.unito.it/circuits/","Yes","Yes","20731828"
"CoGemiR","2008","Homo sapiens, Rattus norvegicus","http://cogemir.tigem.it/","Yes","Yes","18837977"
"ComiRNet","2015","Homo sapiens","http://comirnet.di.uniba.it:8080/","No","Yes","26051695"
"comTAR","2015","Plants","http://rnabiology.ibr-conicet.gov.ar/comtar/","No","Yes","24632500"
"CREAM","2014","Homo sapiens","www.jianglab.cn/CREAM/","Yes","Yes","25978092"
"CSmiRTar","2017","Homo sapiens","http://cosbi.ee.ncku.edu.tw/CSmiRTar/","No","Yes","28704505"
"dbDEMC","2010","Homo sapiens","http://159.226.118.44/dbDEMC/","Yes","No","21143814"
"dbSMR","2009","Homo sapiens","http://miracle.igib.res.in/polyreg/","No","No","19371411"
"DIANA miRPath","2009","Homo sapiens, others","http://snf-515788.vm.okeanos.grnet.gr/","No","Yes","22649059"
"DMD","2015","Miscellaneous","http://sbbi-panda.unl.edu:5000/dmd/","No","Yes","26030752"
"doRiNA","2011","Miscellaneous","https://dorina.mdc-berlin.de/go","No","Yes","22086949"
"dPORE","2011","Homo sapiens","http://apps.sanbi.ac.za/dpore/","No","No","21326606"
"EpimiR","2014","Miscellaneous","http://210.46.85.180:8080/EpimiR/index.jsp","Yes","Yes","24682734"
"EpimiRBase","2016","Unspecified","https://www.epimirbase.eu/","Yes","Yes","26748106"
"ExcellmiRDB","2015","Homo sapiens","http://www.excellmirdb.brfjaisalmer.com/","No","Yes","25562198"
"ExprTargetDB","2010","Homo sapiens","http://www.scandb.org/apps/microrna/","Yes","Yes","20975837"
"HMDD","2015","Homo sapiens","http://202.38.126.151/hmdd/mirna/md/","No","No","18923704"
"HNOCDB","2012","Homo sapiens","http://gyanxet.com/hno.html","No","Yes","22024348"
"HOCTARdb","2011","Homo sapiens","http://hoctar.tigem.it/","No","Yes","21435384"
"IGDB.NSCLC","2011","Homo sapiens","http://igdb.nsclc.ibms.sinica.edu.tw/","No","Yes","22139933"
"Immune-miR","2017","Homo sapiens","http://biominingbu.org/immunemir/index.html","No","Yes","28124611"
"IntmiR","2011","Homo sapiens, others","http://rgcb.res.in/intmir/","No","No","21423893"
"Isomirs","2012","Homo sapiens, others","http://hood.systemsbiology.net/cgi-bin/isomir/ find.pl","No","Yes","20876832"
"MDTE DB","2016","Miscellaneous","http://bioinf.njnu.edu.cn/MDTE/MDTE.php","Yes","Yes","28055900"
"mESAdb","2010","Homo sapiens, others","http://konulab.fen.bilkent.edu.tr/mirna/","No","Yes","21177657"
"MicroPC","2009","Miscellaneous","http://www3a.biotec.or.th/micropc/","No","Yes","19660144"
"microPIR","2012","Homo sapiens","http://www4a.biotec.or.th/micropir","Yes","Yes","22439011"
"microRNA.org","2008","Miscellaneous","http://www.microrna.org/","No","No","18158296"
"microRNAviewer","2011","Miscellaneous","http://people.csail.mit.edu/akiezun/ microRNAviewer","No","Yes","22330228"
"microTranspoGene","2008","Miscellaneous","http://transpogene.tau.ac.il/microTranspoGene. html","Yes","Yes","17986453"
"MicroTrout","2016","Oncorhynchus mykiss","http://www.mennigen-lab.com/microtrout.html","No","Yes","27494513"
"mimiRNA","2010","Homo sapiens","http://mimirna.centenary.org.au/","No","Yes","19933167"
"miR-EdiTar","2012","Homo sapiens","http://microrna.osumc.edu/mireditar","No","Yes","23044546"
"Mir@NT@N","2010","Miscellaneous","http://mironton.uni.lu/","No","No","21375730"
"miR2Disease","2008","Homo sapiens","http://www.mir2disease.org/","No","No","18927107"
"miRandb","2017","Unspecified","http://mirandb.ir/","No","Yes","28049134"
"miRandola","2012","Homo sapiens","http://atlas.dmi.unict.it/mirandola/index.html","No","No","23094086"
"miRBase","2007","Miscellaneous","http://www.mirbase.org/","Yes","Yes","14681370"
"miRBase tracker","2014","Miscellaneous","http://www.mirbasetracker.org/","No","Yes","25157074"
"miRCancer","2013","Homo sapiens","http://mircancer.ecu.edu/","No","No","23325619"
"mirCoX","2013","Homo sapiens","http://210.212.254.116/mircox/pages/index.php","No","Yes","24267917"
"miRDB","2014","Miscellaneous","http://www.mirdb.org/","Yes","Yes","18426918"
"miRDeathDB","2012","Miscellaneous","http://rna-world.org/mirdeathdb/","No","No","22743998"
"mirDIP","2017","Miscellaneous","http://ophid.utoronto.ca/mirDIP/","Yes","Yes","21364759"
"miRdSNP","2011","Homo sapiens","http://mirdsnp.ccr.buffalo.edu/","Yes","Yes","22276777"
"miRecords","2008","Miscellaneous","http://mirecords.biolead.org/","No","Yes","18996891"
"miReg","2016","Homo sapiens","http://www.iioab-mireg.webs.com/","No","Yes","20693604"
"miREnvironment","2011","Miscellaneous","http://cmbi.bjmu.edu.cn/miren","No","No","21984757"
"mirEX","2011","Arabidopsis thaliana","http://bioinfo.amu.edu.pl/mirex","Yes","No","22013167"
"miRFANs","2011","Arabidopsis thaliana, others","http://www.cassava-genome.cn/mirfans","No","No","22583976"
"miRGate","2015","Homo sapiens, others","http://mirgate.bioinfo.cnio.es/miRGate/","No","Yes","25858286"
"miRGator","2007","Homo sapiens","http://mirgator.kobic.re.kr/","No","Yes","17942429"
"mirGen","2006","Homo sapiens, Mus musculus","http://www.microrna.gr/mirgen/","Yes","Yes","17108354"
"MirGeneDB.org","2014","Homo sapiens, others","http://mirgenedb.org/","Yes","Yes","26473382"
"miRHrt","2010","Mus musculus, others","http://sysbio.suda.edu.cn/mirhrt/","Yes","No","20716610"
"miRmine","2017","Homo sapiens","http://guanlab.ccmb.med.umich.edu/mirmine/","No","Yes","28108447"
"miRNA","2009","Vitis vinifera","http://www.itb.cnr.it/ptp/grapemirna/","No","Yes","19563653"
"miRNA - target gene prediction at EMBL","2005","Drosophila","http://www.russelllab.org/mirnas/","Yes","No","15723116"
"miRNA body map","2011","Homo sapiens, others","http://www.mirnabodymap.org/","No","No","21835775"
"miRNA SNiPer","2011","Homo sapiens, others","http://www.integratomics-time.com/miRNA- SNiPer","No","No","22303335"
"miRNA_Targets","2012","Miscellaneous","http://mamsap.it.deakin.edu.au/~amitkuma/mirna_ targetsnew/find_mirna.html","No","No","22940442"
"miRnalyze","2017","Homo sapiens","http://www.mirnalyze.in/","No","Yes","28365733"
"miRNAMap","2006","Homo sapiens, others","http://mirnamap.mbc.nctu.edu.tw/","Yes","No","16381831"
"miRNApath","2007","Homo sapiens, others","http://lgmb.fmrp.usp.br/mirnapath/","No","Yes","18058708"
"miRNASNP","2015","Unspecified","http://bioinfo.life.hust.edu.cn/miRNASNP2/","Yes","Yes","25877638"
"miRNEST","2011","Animal, plant, virus","http://rhesus.amu.edu.pl/mirnest/copy/","Yes","Yes","24243848"
"miRNeye","2010","Mus musculus","http://mirneye.tigem.it/","No","Yes","21171988"
"miRo`","2009","Homo sapiens","http://ferrolab.dmi.unict.it/miro/","No","No","20157481"
"miROrtho","2008","Miscellaneous","http://cegg.unige.ch/mirortho/","No","Yes","18927110"
"miRPathDB","2016","Homo sapiens, Mus musculus","https://mpd.bioinf.uni-sb.de/overview.html","Yes","Yes","27742822"
"mirPub","2014","Miscellaneous","http://diana.imis.athena-innovation.gr/ DianaTools/index.php?r¼mirpub","No","Yes","25527833"
"miRSel","2010","Homo sapiens, others","http://services.bio.ifi.lmu.de/mirsel/","No","Yes","20233441"
"MirSNP","2012","Homo sapiens","http://bioinfo.bjmu.edu.cn/mirsnp/search/","Yes","Yes","23173617"
"miRSponge","2015","Miscellaneous","http://www.bio-bigdata.com/miRSponge/","Yes","Yes","26424084"
"miRStress","2013","Homo sapiens, others","https://sourceforge.net/projects/mirstress/","Yes","Yes","24244721"
"miRSystem","2012","Homo sapiens, Mus musculus","http://mirsystem.cgm.ntu.edu.tw/","No","Yes","22870325"
"miRTarBase","2010","Miscellaneous","http://mirtarbase.mbc.nctu.edu.tw/","Yes","Yes","21071411"
"mirtronDB","2019","Plants","http://mirtrondb.cp.utfpr.edu.br/","Yes","Yes","30874795"
"miRvar","2011","Homo sapiens","http://genome.igib.res.in/mirlovd","No","Yes","21618345"
"miRWalk","2011","Homo sapiens, others","http://www.ma.uni-heidelberg.de/apps/zmf/ mirwalk/","No","Yes","16381827"
"miSolRNA","2010","Solanum lycopersicum","http://www.misolrna.org/","No","No","21059227"
"miTALOS","2011","Homo sapiens, Mus musculus","http://mips.helmholtz-muenchen.de/mitalos/","No","Yes","21441347"
"MtiBase","2015","Homo sapiens, Mus musculus","http://mtibase.sysu.edu.cn./","No","No","26490638"
"multiMiR","2014","Homo sapiens, Mus musculus","http://multimir.ucdenver.edu/","Yes","Yes","25063298"
"NCG","2016","Homo sapiens","http://ncg.kcl.ac.uk/index.php","Yes","Yes","26516186"
"NetAge","2010","Miscellaneous","http://netage-project.org/","No","No","20186480"
"OCDB","2015","Homo sapiens","http://ocdb.di.univr.it/","No","No","26228432"
"OncomiRDB","2014","Homo sapiens, Mus musculus","http://tdb.ccmb.res.in/OncomiRdbB/index.htm","No","Yes","24651967"
"PAmiRDB","2019","Plants, virus","http://bioinfo.icgeb.res.in/pamirdb","No","Yes","30874591"
"PASmiR","2013","Plants","http://pcsb.ahau.edu.cn:8080/PASmiR/","Yes","Yes","23448274"
"Patrocles","2009","Miscellaneous","http://www.patrocles.org/","No","Yes","19906729"
"Pharmaco-miR","2013","Unspecified","http://www.pharmaco-mir.org/","Yes","Yes","23376192"
"PhenomiR","2009","Homo sapiens","http://mips.helmholtz-muenchen.de/phenomir/","Yes","Yes","20089154"
"PlanTE-MIR DB","2016","Plants","http://bioinfo-tool.cp.utfpr.edu.br/plantemirdb/","Yes","Yes","26887375"
"PmiRExAt","2016","Arabidopsis thaliana,","http://pmirexat.nabi.res.in","Yes","Yes","27081157"
"PmiRKB","2010","Arabidopsis thaliana,","http://bis.zju.edu.cn/pmirkb/","No","Yes","20719744"
"PMRD","2009","Plants","http://bioinformatics.cau.edu.cn/PMRD/","Yes","Yes","19808935"
"PMTED","2013","Plants","http://pmted.agrinome.org/","No","No","23725466"
"PNRD","2014","Plants","http://structuralbiology.cau.edu.cn/PNRD/","Yes","No","25398903"
"PolymiRTS","2006","Homo sapiens, Mus musculus","http://compbio.uthsc.edu/miRSNP/","Yes","Yes","17099235"
"Psmir","2016","Homo sapiens","http://www.bio-bigdata.com/Psmir/index.jsp","No","No","26759061"
"PuTmiR","2010","Homo sapiens","http://www.isical.ac.in/~bioinfo_miu/TF-miRNA. php","Yes","Yes","20398296"
"RCGD","2012","Homo sapiens","http://www.juit.ac.in/attachments/jsr/rcdb/ homenew.html","No","Yes","22608002"
"RepTar","2010","Miscellaneous","http://bioinformatics.ekmd.huji.ac.il/reptar/","Yes","No","21149264"
"RiceATM","2016","Oryza sativa","http://syslab3.nchu.edu.tw/rice/","No","No","28025342"
"S-MED","2010","Homo sapiens","http://www.oncomir.umn.edu/SMED/","No","Yes","20212452"
"SM2miR","2012","Unspecified","http://210.46.85.180:8080/sm2mir/index.jsp","Yes","Yes","23220571"
"smiRNAdb","2007","Miscellaneous","http://www.mirz.unibas.ch/cloningprofiles/","No","No","17604727"
"SomamiR","2012","Homo sapiens","http://compbio.uthsc.edu/SomamiR/","Yes","Yes","26578591"
"SorghumFDB","2016","Sorghum bicolor","http://structuralbiology.cau.edu.cn/sorghum/ index.html","No","No","27352859"
"Ssa miRNAs DB","2012","Salmo salar","http://www.molgenv.com/ssa_mirnas_db_home. php","No","No","22493538"
"starBase","2010","Miscellaneous","http://starbase.sysu.edu.cn/","Yes","No","21037263"
"TarBase","2015","Miscellaneous","http://diana.cslab.ece.ntua.gr/tarbase/","Yes","Yes","16373484"
