"database", "year", "cite_number", "categories", "Organism", "Website", "Download", "Available", "PubmedID", "Content", "information"
"TargetScanS", "2005", "5521", "miRNA- target", "Miscellaneous", "http://genes.mit.edu/tscan/targetscanS2005.html", "No", "Yes", "15652477", "Predicted miRNA", "NA"
"miRBase", "2014", "2368", "Specifics", "Miscellaneous", "https://www.mirbase.org/", "Yes", "Yes", "24275495", "General Information", ""miRNA/Target interactions - ""
"smiRNAdb", "2007", "1817", "NA", "Miscellaneous", "http://www.mirz.unibas.ch/cloningprofiles/", "No", "No", "17604727", "Expression datasets", "NA"
"microRNA.org", "2008", "1270", "NA", "Miscellaneous", "http://www.microrna.org/", "No", "No", "18158296", "Predicted miRNA", ""Expression profiles - ", "miRNA/Target interactions - ", "Phylogeny - ""
"miRWalk", "2011", "830", "None", "NA", "NA", "NA", "NA", "21605702", "Predicted miRNA", ""miRNA/Target interactions - ""
"miRBase", "2019", "809", "None", "NA", "NA", "NA", "NA", "30423142", "General Information", ""miRNA/Target interactions - ""
"miRTarBase", "2010", "563", "miRNA- target", "Miscellaneous", "http://mirtarbase.mbc.nctu.edu.tw/", "Yes", "Yes", "21071411", "General Information", ""miRNA/Target interactions - ", "Phylogeny - ""
"miRTarBase", "2016", "523", "None", "NA", "NA", "NA", "NA", "26590260", "", ""miRNA/Target interactions - ", "Phylogeny - ""
"HMDD", "2015", "389", "Disease", "Homo sapiens", "http://202.38.126.151/hmdd/mirna/md/", "No", "No", "18923704", "Association to diseases", "NA"
"miRDB", "2020", "374", "None", "NA", "NA", "NA", "NA", "31504780", "Expression datasets", ""miRNA/Target interactions - ""
"mirDIP", "2017", "111", "miRNA- target", "Miscellaneous", "http://ophid.utoronto.ca/mirDIP/", "Yes", "Yes", "21364759", "", ""miRNA/Target interactions - ""
"Rfam", "2021", "49", "None", "NA", "NA", "NA", "NA", "33211869", "", "NA"
"miRNASNP", "2021", "13", "None", "NA", "NA", "NA", "NA", "32990748", "Single nuclotide", ""Expression profiles - ", "miRNA/Target interactions - ", "SNPs - ""
"mirtronDB", "2019", "5", "Specifics", "Plants", "http://mirtrondb.cp.utfpr.edu.br/", "Yes", "Yes", "30874795", "", "NA"
"CSCD2", "2022", "3", "None", "NA", "NA", "NA", "NA", "34551437", "", "NA"
"DIANA-miTED", "2022", "0", "None", "NA", "NA", "NA", "NA", "34469540", "", "NA"
